year,month,day,hour,minute,global,direct,diffuse
2002,1,8,14,45,493.4,851,68.05
2002,1,8,14,50,480.8,799,87.9
2002,1,8,14,55,417,647.8,102.4
2002,1,8,15,0,402.8,615,108.3
2002,1,8,15,5,398.2,9900,109.6
2002,1,8,15,10,418.9,9900,113.3
2002,1,8,15,15,383.6,9900,113.7
2002,1,8,15,20,381,608.9,114.9
2002,1,8,15,25,361.2,581,112.8
2002,1,8,15,30,308.9,484.9,104.8
2002,1,8,15,35,258.8,395.8,94.1
2002,1,8,15,40,240.1,386.4,83.7
2002,1,8,15,45,273.5,515.2,75.3
2002,1,8,15,50,300.7,636.5,67.55
2002,1,8,15,55,282.5,642.9,56.39
2002,1,8,16,0,262.9,634.1,52.43
2002,1,8,16,5,275.5,713,52.36
2002,1,8,16,10,245.5,644.1,52.36
2002,1,8,16,15,237.5,650.5,52.44
2002,1,8,16,20,229.8,670.5,49.07
2002,1,8,16,25,201.5,616,43.06